cd_cliente,nm_cliente,cpf,sexo,dt_nascimento
1,Ana Silva,75421412545,M,1975-04-05
2,Bruno Costa,85420479279,M,1965-10-14
3,Carla Melo,13213019537,F,1974-09-20
4,Diego Rocha,12767430393,M,1994-07-08
5,Eliane Nunes,55970338410,M,1970-12-14
6,Fabio Dias,44838425937,F,1981-02-03
7,Gisele Pinto,48919946754,M,1998-05-26
8,Henrique Alves,14484757078,M,1967-07-03
9,Isabela Souza,66540094990,F,1999-06-19
10,Joao Lima,29682117115,M,1974-05-03
11,Katia Ferreira,97533898722,M,1984-05-15
12,Lucas Gomes,75095447330,F,1983-06-07
13,Marina Barbosa,78637381897,M,1964-10-21
14,Nelson Cardoso,27564684641,M,1970-08-13
15,Olivia Rezende,37675580481,F,1974-11-11
16,Pedro Martins,96388689417,M,1974-01-26
17,Quincy Araujo,42351037418,M,1973-10-23
18,Raquel Teixeira,42231777173,F,1985-11-15
19,Samuel Pereira,24637124241,M,1995-09-09
20,Tatiana Castro,86469853884,M,1985-06-08
